Income,Age,Occupation,City_Tier,Loan_Repayment,Fixed Expenses,Investment,Savings,Shopping_Frequency,Hobbies
44637.0,49,Self_Employed,Tier_1,0.0,33371.621928834225,5918.45,5347.18,8,"Baking, Cooking"
26859.0,34,Retired,Tier_2,0.0,17181.777859045094,2021.16,7655.66,4,"Baking, Cooking"
50368.0,35,Student,Tier_3,4612.1,31864.051072792372,6762.07,7129.38,7,"Social Media, Baking"
101456.0,21,Self_Employed,Tier_3,6809.44,63028.20520558229,15974.01,15643.94,15,"Baking, Cooking"
24875.0,52,Professional,Tier_2,3112.61,15496.973617206264,1874.66,4391.04,4,"Cooking, Gardening"
24876.0,57,Self_Employed,Tier_2,0.0,17276.34496765725,1558.78,6040.49,4,"Gardening, Reading"
106120.0,53,Self_Employed,Tier_2,0.0,64524.36703876778,17807.47,23787.86,15,"Electronics, Cooking"
55431.0,40,Professional,Tier_2,8307.7,38657.694690802426,6226.75,2239.19,8,"Baking, Cooking"
20607.0,32,Retired,Tier_1,3562.49,16681.32642217995,337.51,25.41,3,"Baking, Sports"
46305.0,30,Student,Tier_2,0.0,30614.53395858113,5524.3,10165.96,8,"Social Media, Cooking"
20707.0,31,Student,Tier_3,0.0,12648.251173799958,1798.49,6260.08,3,"Sports, Fitness"
20669.0,31,Professional,Tier_2,0.0,14548.945937219893,1717.36,4402.25,4,"Writing, Cooking"
36407.0,54,Retired,Tier_1,4583.25,27233.50777617548,2606.49,1983.98,5,"Baking, Cooking"
6492.0,22,Retired,Tier_3,0.0,4611.09032589944,474.29,1406.64,1,"Fitness, Sports"
7548.0,39,Self_Employed,Tier_2,0.0,5386.397550848817,435.84,1725.62,1,"Writing, Baking"
19132.0,45,Student,Tier_2,2525.41,13402.338544551785,1476.69,1727.66,4,"Fitness, Video Games"
13342.0,62,Retired,Tier_2,2540.48,9703.435835958262,1010.47,87.82,3,"Reading, Fitness"
38575.0,21,Professional,Tier_2,0.0,27962.070330809507,2717.85,7894.73,7,"Cooking, Baking"
14509.0,55,Student,Tier_1,829.44,11197.07908820659,1019.45,1463.16,2,"Sports, Cooking"
